DesignName,ParticipantID,TrialID,Block1,Letter1,Letter2,Modifier1,Size
2key,4,304,34,Right,Left,CMD,1
2key,4,305,35,Left,Right,Alt,1
2key,4,306,36,Middle,Right,Alt,2
2key,4,307,37,Right,Left,Alt,2
2key,4,308,38,Right,Middle,None,2
2key,4,309,39,Right,Middle,CMD,1
2key,4,310,40,Left,Middle,CMD_Alt_Shift,1
2key,4,311,41,Right,Right,Alt,2
2key,4,312,42,Middle,Left,CMD,2
2key,4,313,43,Middle,Left,CMD,1
2key,4,314,44,Left,Middle,CMD_Alt_Shift,2
2key,4,315,45,Left,Middle,CMD,1
2key,4,316,46,Left,Right,None,2
2key,4,317,47,Right,Right,CMD,1
2key,4,318,48,Left,Middle,Alt,2
2key,4,319,49,Left,Middle,CMD,2
2key,4,320,50,Left,Left,CMD_Shift,2
2key,4,321,51,Middle,Middle,CMD_Shift,1
2key,4,322,52,Middle,Right,CMD,2
2key,4,323,53,Middle,Left,CMD_Shift,1
2key,4,324,54,Right,Left,CMD,2
2key,4,325,55,Right,Left,CMD_Alt_Shift,1
2key,4,326,56,Middle,Right,CMD,1
2key,4,327,57,Right,Right,CMD,2
2key,4,328,58,Middle,Left,CMD_Alt_Shift,2
2key,4,329,59,Middle,Middle,CMD_Alt_Shift,1
2key,4,330,60,Middle,Middle,Alt,2
2key,4,331,61,Left,Right,CMD_Alt_Shift,2
2key,4,332,62,Right,Middle,CMD_Shift,2
2key,4,333,63,Right,Right,CMD_Alt_Shift,1
2key,4,334,64,Middle,Middle,CMD_Shift,2
2key,4,335,65,Left,Right,CMD_Shift,1
2key,4,336,66,Right,Left,Alt,1
2key,4,337,67,Left,Right,CMD_Shift,2
2key,4,338,68,Middle,Left,None,2
2key,4,339,69,Middle,Right,None,1
2key,4,340,70,Right,Middle,CMD,2
2key,4,341,71,Middle,Left,CMD_Shift,2
2key,4,342,72,Right,Middle,CMD_Shift,1
2key,4,343,73,Middle,Right,CMD_Shift,2
2key,4,344,74,Left,Middle,CMD_Shift,2
2key,4,345,75,Right,Right,Alt,1
2key,4,346,76,Middle,Middle,CMD,1
2key,4,347,77,Left,Left,CMD_Shift,1
2key,4,348,78,Left,Left,Alt,2
2key,4,349,79,Middle,Left,Alt,1
2key,4,350,80,Left,Left,CMD_Alt_Shift,2
2key,4,351,81,Left,Left,None,2
2key,4,352,82,Left,Middle,CMD_Shift,1
2key,4,353,83,Right,Middle,Alt,2
2key,4,354,84,Middle,Right,CMD_Shift,1
2key,4,355,85,Left,Left,Alt,1
2key,4,356,86,Middle,Left,None,1
2key,4,357,87,Middle,Middle,Alt,1
2key,4,358,88,Right,Middle,Alt,1
2key,4,359,89,Right,Left,CMD_Alt_Shift,2
2key,4,360,90,Middle,Left,CMD_Alt_Shift,1
2key,5,361,1,Middle,Right,None,1
2key,5,362,2,Middle,Right,Alt,2
2key,5,363,3,Middle,Middle,None,2
2key,5,364,4,Left,Right,Alt,1
2key,5,365,5,Middle,Middle,CMD,1
2key,5,366,6,Right,Left,None,1
2key,5,367,7,Left,Left,CMD,2
2key,5,368,8,Right,Left,None,2
2key,5,369,9,Right,Right,CMD,1
2key,5,370,10,Middle,Right,CMD,1
2key,5,371,11,Right,Left,CMD,1
2key,5,372,12,Middle,Right,CMD_Alt_Shift,2
