DesignName,ParticipantID,TrialID,Block1,First,Size
1dir,2,92,44,SW,1
1dir,2,93,45,NW,1
1dir,2,94,46,S,2
1dir,2,95,47,NE,1
1dir,2,96,48,N,2
1dir,3,97,1,E,3
1dir,3,98,2,SE,1
1dir,3,99,3,NE,3
1dir,3,100,4,SW,2
1dir,3,101,5,SW,3
1dir,3,102,6,NE,2
1dir,3,103,7,N,1
1dir,3,104,8,N,3
1dir,3,105,9,NW,1
1dir,3,106,10,NE,1
1dir,3,107,11,SE,3
1dir,3,108,12,E,1
1dir,3,109,13,W,3
1dir,3,110,14,N,2
1dir,3,111,15,S,1
1dir,3,112,16,S,2
1dir,3,113,17,W,2
1dir,3,114,18,NW,2
1dir,3,115,19,NW,3
1dir,3,116,20,S,3
1dir,3,117,21,SE,2
1dir,3,118,22,SW,1
1dir,3,119,23,E,2
1dir,3,120,24,W,1
1dir,3,121,25,N,1
1dir,3,122,26,W,2
1dir,3,123,27,W,3
1dir,3,124,28,SE,2
1dir,3,125,29,SW,1
1dir,3,126,30,E,1
1dir,3,127,31,E,2
1dir,3,128,32,E,3
1dir,3,129,33,N,2
1dir,3,130,34,SE,3
1dir,3,131,35,NW,3
1dir,3,132,36,SW,3
1dir,3,133,37,NE,1
1dir,3,134,38,W,1
1dir,3,135,39,SE,1
1dir,3,136,40,NE,3
1dir,3,137,41,NW,1
1dir,3,138,42,S,1
1dir,3,139,43,S,2
1dir,3,140,44,SW,2
1dir,3,141,45,NW,2
1dir,3,142,46,S,3
1dir,3,143,47,NE,2
1dir,3,144,48,N,3
1dir,4,145,1,W,1
1dir,4,146,2,SE,2
1dir,4,147,3,NW,1
1dir,4,148,4,SW,3
1dir,4,149,5,N,1
1dir,4,150,6,NE,3
1dir,4,151,7,N,2
1dir,4,152,8,S,1
1dir,4,153,9,NW,2
1dir,4,154,10,NE,2
1dir,4,155,11,SW,1
1dir,4,156,12,E,2
1dir,4,157,13,NE,1
1dir,4,158,14,N,3
1dir,4,159,15,S,2
1dir,4,160,16,S,3
1dir,4,161,17,W,3
1dir,4,162,18,NW,3
1dir,4,163,19,SE,1
1dir,4,164,20,E,1
1dir,4,165,21,SE,3
1dir,4,166,22,SW,2
1dir,4,167,23,E,3
1dir,4,168,24,W,2
1dir,4,169,25,N,2
1dir,4,170,26,W,3
1dir,4,171,27,NE,1
1dir,4,172,28,SE,3
1dir,4,173,29,SW,2
1dir,4,174,30,E,2
1dir,4,175,31,E,3
1dir,4,176,32,W,1
1dir,4,177,33,N,3
1dir,4,178,34,SW,1
1dir,4,179,35,SE,1
1dir,4,180,36,N,1
1dir,4,181,37,NE,2
1dir,4,182,38,W,2
1dir,4,183,39,SE,2
1dir,4,184,40,NW,1
1dir,4,185,41,NW,2
1dir,4,186,42,S,2
1dir,4,187,43,S,3
1dir,4,188,44,SW,3
1dir,4,189,45,NW,3
1dir,4,190,46,E,1
1dir,4,191,47,NE,3
1dir,4,192,48,S,1
1dir,5,193,1,W,2
1dir,5,194,2,SE,3
1dir,5,195,3,NW,2
1dir,5,196,4,N,1
1dir,5,197,5,N,2
1dir,5,198,6,NW,1
1dir,5,199,7,N,3
1dir,5,200,8,S,2
1dir,5,201,9,NW,3
1dir,5,202,10,NE,3
1dir,5,203,11,SW,2
1dir,5,204,12,E,3
1dir,5,205,13,NE,2
1dir,5,206,14,S,1
1dir,5,207,15,S,3
1dir,5,208,16,E,1
1dir,5,209,17,NE,1
1dir,5,210,18,SE,1
1dir,5,211,19,SE,2
1dir,5,212,20,E,2
1dir,5,213,21,SW,1
1dir,5,214,22,SW,3
1dir,5,215,23,W,1
1dir,5,216,24,W,3
1dir,5,217,25,N,3
1dir,5,218,26,NE,1
1dir,5,219,27,NE,2
1dir,5,220,28,SW,1
1dir,5,221,29,SW,3
1dir,5,222,30,E,3
1dir,5,223,31,W,1
1dir,5,224,32,W,2
1dir,5,225,33,S,1
1dir,5,226,34,SW,2
1dir,5,227,35,SE,2
1dir,5,228,36,N,2
1dir,5,229,37,NE,3
1dir,5,230,38,W,3
1dir,5,231,39,SE,3
1dir,5,232,40,NW,2
1dir,5,233,41,NW,3
1dir,5,234,42,S,3
1dir,5,235,43,E,1
1dir,5,236,44,N,1
1dir,5,237,45,SE,1
1dir,5,238,46,E,2
1dir,5,239,47,NW,1
1dir,5,240,48,S,2
1dir,6,241,1,W,3
1dir,6,242,2,SW,1
1dir,6,243,3,NW,3
1dir,6,244,4,N,2
1dir,6,245,5,N,3
1dir,6,246,6,NW,2
1dir,6,247,7,S,1
1dir,6,248,8,S,3
1dir,6,249,9,SE,1
1dir,6,250,10,NW,1
1dir,6,251,11,SW,3
1dir,6,252,12,W,1
1dir,6,253,13,NE,3
1dir,6,254,14,S,2
1dir,6,255,15,E,1
1dir,6,256,16,E,2
1dir,6,257,17,NE,2
1dir,6,258,18,SE,2
1dir,6,259,19,SE,3
1dir,6,260,20,E,3
1dir,6,261,21,SW,2
1dir,6,262,22,N,1
1dir,6,263,23,W,2
1dir,6,264,24,NE,1
1dir,6,265,25,S,1
1dir,6,266,26,NE,2
1dir,6,267,27,NE,3
1dir,6,268,28,SW,2
1dir,6,269,29,N,1
1dir,6,270,30,W,1
1dir,6,271,31,W,2
1dir,6,272,32,W,3
1dir,6,273,33,S,2
1dir,6,274,34,SW,3
1dir,6,275,35,SE,3
1dir,6,276,36,N,3
1dir,6,277,37,NW,1
1dir,6,278,38,NE,1
1dir,6,279,39,SW,1
1dir,6,280,40,NW,3
1dir,6,281,41,SE,1
1dir,6,282,42,E,1
1dir,6,283,43,E,2
1dir,6,284,44,N,2
1dir,6,285,45,SE,2
1dir,6,286,46,E,3
1dir,6,287,47,NW,2
1dir,6,288,48,S,3
1dir,7,289,1,NE,1
1dir,7,290,2,SW,2
1dir,7,291,3,SE,1
1dir,7,292,4,N,3
1dir,7,293,5,S,1
1dir,7,294,6,NW,3
1dir,7,295,7,S,2
1dir,7,296,8,E,1
1dir,7,297,9,SE,2
1dir,7,298,10,NW,2
1dir,7,299,11,N,1
1dir,7,300,12,W,2
1dir,7,301,13,NW,1
1dir,7,302,14,S,3
1dir,7,303,15,E,2
1dir,7,304,16,E,3
1dir,7,305,17,NE,3
1dir,7,306,18,SE,3
1dir,7,307,19,SW,1
1dir,7,308,20,W,1
1dir,7,309,21,SW,3
1dir,7,310,22,N,2
1dir,7,311,23,W,3
1dir,7,312,24,NE,2
1dir,7,313,25,S,2
1dir,7,314,26,NE,3
1dir,7,315,27,NW,1
1dir,7,316,28,SW,3
1dir,7,317,29,N,2
1dir,7,318,30,W,2
1dir,7,319,31,W,3
1dir,7,320,32,NE,1
1dir,7,321,33,S,3
1dir,7,322,34,N,1
1dir,7,323,35,SW,1
1dir,7,324,36,S,1
1dir,7,325,37,NW,2
1dir,7,326,38,NE,2
1dir,7,327,39,SW,2
1dir,7,328,40,SE,1
1dir,7,329,41,SE,2
1dir,7,330,42,E,2
1dir,7,331,43,E,3
1dir,7,332,44,N,3
1dir,7,333,45,SE,3
1dir,7,334,46,W,1
1dir,7,335,47,NW,3
1dir,7,336,48,E,1
1dir,8,337,1,NE,2
1dir,8,338,2,SW,3
1dir,8,339,3,SE,2
