DesignName,ParticipantID,TrialID,Block1,Block2,Block,Size,Repeat,NbAngle
GestureMultiAngle,5,219,4,3,4,4,1,1
GestureMultiAngle,5,220,4,4,4,3,1,2
GestureMultiAngle,5,221,4,5,4,4,1,2
GestureMultiAngle,5,222,4,6,4,1,1,1
GestureMultiAngle,5,223,4,7,4,1,1,2
GestureMultiAngle,5,224,4,8,4,3,1,1
GestureMultiAngle,5,225,5,1,5,2,1,1
GestureMultiAngle,5,226,5,2,5,2,1,2
GestureMultiAngle,5,227,5,3,5,4,1,1
GestureMultiAngle,5,228,5,4,5,3,1,2
GestureMultiAngle,5,229,5,5,5,4,1,2
GestureMultiAngle,5,230,5,6,5,1,1,1
GestureMultiAngle,5,231,5,7,5,1,1,2
GestureMultiAngle,5,232,5,8,5,3,1,1
GestureMultiAngle,5,233,6,1,6,2,1,1
GestureMultiAngle,5,234,6,2,6,2,1,2
GestureMultiAngle,5,235,6,3,6,4,1,1
GestureMultiAngle,5,236,6,4,6,3,1,2
GestureMultiAngle,5,237,6,5,6,4,1,2
GestureMultiAngle,5,238,6,6,6,1,1,1
GestureMultiAngle,5,239,6,7,6,1,1,2
GestureMultiAngle,5,240,6,8,6,3,1,1
GestureMultiAngle,6,241,1,1,1,2,1,2
GestureMultiAngle,6,242,1,2,1,3,1,1
GestureMultiAngle,6,243,1,3,1,4,1,2
GestureMultiAngle,6,244,1,4,1,4,1,1
GestureMultiAngle,6,245,1,5,1,1,1,1
GestureMultiAngle,6,246,1,6,1,1,1,2
GestureMultiAngle,6,247,1,7,1,2,1,1
GestureMultiAngle,6,248,1,8,1,3,1,2
GestureMultiAngle,6,249,2,1,2,2,1,2
GestureMultiAngle,6,250,2,2,2,3,1,1
GestureMultiAngle,6,251,2,3,2,4,1,2
GestureMultiAngle,6,252,2,4,2,4,1,1
GestureMultiAngle,6,253,2,5,2,1,1,1
GestureMultiAngle,6,254,2,6,2,1,1,2
GestureMultiAngle,6,255,2,7,2,2,1,1
GestureMultiAngle,6,256,2,8,2,3,1,2
GestureMultiAngle,6,257,3,1,3,2,1,2
GestureMultiAngle,6,258,3,2,3,3,1,1
GestureMultiAngle,6,259,3,3,3,4,1,2
GestureMultiAngle,6,260,3,4,3,4,1,1
GestureMultiAngle,6,261,3,5,3,1,1,1
GestureMultiAngle,6,262,3,6,3,1,1,2
GestureMultiAngle,6,263,3,7,3,2,1,1
GestureMultiAngle,6,264,3,8,3,3,1,2
GestureMultiAngle,6,265,4,1,4,2,1,2
GestureMultiAngle,6,266,4,2,4,3,1,1
GestureMultiAngle,6,267,4,3,4,4,1,2
GestureMultiAngle,6,268,4,4,4,4,1,1
GestureMultiAngle,6,269,4,5,4,1,1,1
GestureMultiAngle,6,270,4,6,4,1,1,2
GestureMultiAngle,6,271,4,7,4,2,1,1
GestureMultiAngle,6,272,4,8,4,3,1,2
GestureMultiAngle,6,273,5,1,5,2,1,2
GestureMultiAngle,6,274,5,2,5,3,1,1
GestureMultiAngle,6,275,5,3,5,4,1,2
GestureMultiAngle,6,276,5,4,5,4,1,1
GestureMultiAngle,6,277,5,5,5,1,1,1
GestureMultiAngle,6,278,5,6,5,1,1,2
GestureMultiAngle,6,279,5,7,5,2,1,1
GestureMultiAngle,6,280,5,8,5,3,1,2
GestureMultiAngle,6,281,6,1,6,2,1,2
GestureMultiAngle,6,282,6,2,6,3,1,1
GestureMultiAngle,6,283,6,3,6,4,1,2
GestureMultiAngle,6,284,6,4,6,4,1,1
GestureMultiAngle,6,285,6,5,6,1,1,1
GestureMultiAngle,6,286,6,6,6,1,1,2
GestureMultiAngle,6,287,6,7,6,2,1,1
GestureMultiAngle,6,288,6,8,6,3,1,2
GestureMultiAngle,7,289,1,1,1,3,1,1
GestureMultiAngle,7,290,1,2,1,3,1,2
GestureMultiAngle,7,291,1,3,1,1,1,1
GestureMultiAngle,7,292,1,4,1,4,1,2
GestureMultiAngle,7,293,1,5,1,1,1,2
GestureMultiAngle,7,294,1,6,1,2,1,1
GestureMultiAngle,7,295,1,7,1,2,1,2
GestureMultiAngle,7,296,1,8,1,4,1,1
GestureMultiAngle,7,297,2,1,2,3,1,1
GestureMultiAngle,7,298,2,2,2,3,1,2
GestureMultiAngle,7,299,2,3,2,1,1,1
GestureMultiAngle,7,300,2,4,2,4,1,2
GestureMultiAngle,7,301,2,5,2,1,1,2
GestureMultiAngle,7,302,2,6,2,2,1,1
GestureMultiAngle,7,303,2,7,2,2,1,2
GestureMultiAngle,7,304,2,8,2,4,1,1
GestureMultiAngle,7,305,3,1,3,3,1,1
GestureMultiAngle,7,306,3,2,3,3,1,2
GestureMultiAngle,7,307,3,3,3,1,1,1
GestureMultiAngle,7,308,3,4,3,4,1,2
GestureMultiAngle,7,309,3,5,3,1,1,2
GestureMultiAngle,7,310,3,6,3,2,1,1
GestureMultiAngle,7,311,3,7,3,2,1,2
GestureMultiAngle,7,312,3,8,3,4,1,1
GestureMultiAngle,7,313,4,1,4,3,1,1
GestureMultiAngle,7,314,4,2,4,3,1,2
GestureMultiAngle,7,315,4,3,4,1,1,1
GestureMultiAngle,7,316,4,4,4,4,1,2
GestureMultiAngle,7,317,4,5,4,1,1,2
GestureMultiAngle,7,318,4,6,4,2,1,1
GestureMultiAngle,7,319,4,7,4,2,1,2
GestureMultiAngle,7,320,4,8,4,4,1,1
GestureMultiAngle,7,321,5,1,5,3,1,1
GestureMultiAngle,7,322,5,2,5,3,1,2
GestureMultiAngle,7,323,5,3,5,1,1,1
GestureMultiAngle,7,324,5,4,5,4,1,2
GestureMultiAngle,7,325,5,5,5,1,1,2
GestureMultiAngle,7,326,5,6,5,2,1,1
GestureMultiAngle,7,327,5,7,5,2,1,2
GestureMultiAngle,7,328,5,8,5,4,1,1
GestureMultiAngle,7,329,6,1,6,3,1,1
GestureMultiAngle,7,330,6,2,6,3,1,2
GestureMultiAngle,7,331,6,3,6,1,1,1
GestureMultiAngle,7,332,6,4,6,4,1,2
GestureMultiAngle,7,333,6,5,6,1,1,2
GestureMultiAngle,7,334,6,6,6,2,1,1
GestureMultiAngle,7,335,6,7,6,2,1,2
GestureMultiAngle,7,336,6,8,6,4,1,1
GestureMultiAngle,8,337,1,1,1,3,1,2
GestureMultiAngle,8,338,1,2,1,4,1,1
GestureMultiAngle,8,339,1,3,1,1,1,2
GestureMultiAngle,8,340,1,4,1,1,1,1
GestureMultiAngle,8,341,1,5,1,2,1,1
GestureMultiAngle,8,342,1,6,1,2,1,2
GestureMultiAngle,8,343,1,7,1,3,1,1
GestureMultiAngle,8,344,1,8,1,4,1,2
GestureMultiAngle,8,345,2,1,2,3,1,2
GestureMultiAngle,8,346,2,2,2,4,1,1
GestureMultiAngle,8,347,2,3,2,1,1,2
GestureMultiAngle,8,348,2,4,2,1,1,1
GestureMultiAngle,8,349,2,5,2,2,1,1
GestureMultiAngle,8,350,2,6,2,2,1,2
GestureMultiAngle,8,351,2,7,2,3,1,1
GestureMultiAngle,8,352,2,8,2,4,1,2
GestureMultiAngle,8,353,3,1,3,3,1,2
GestureMultiAngle,8,354,3,2,3,4,1,1
GestureMultiAngle,8,355,3,3,3,1,1,2
GestureMultiAngle,8,356,3,4,3,1,1,1
GestureMultiAngle,8,357,3,5,3,2,1,1
GestureMultiAngle,8,358,3,6,3,2,1,2
GestureMultiAngle,8,359,3,7,3,3,1,1
GestureMultiAngle,8,360,3,8,3,4,1,2
GestureMultiAngle,8,361,4,1,4,3,1,2
GestureMultiAngle,8,362,4,2,4,4,1,1
GestureMultiAngle,8,363,4,3,4,1,1,2
GestureMultiAngle,8,364,4,4,4,1,1,1
GestureMultiAngle,8,365,4,5,4,2,1,1
GestureMultiAngle,8,366,4,6,4,2,1,2
GestureMultiAngle,8,367,4,7,4,3,1,1
GestureMultiAngle,8,368,4,8,4,4,1,2
GestureMultiAngle,8,369,5,1,5,3,1,2
GestureMultiAngle,8,370,5,2,5,4,1,1
GestureMultiAngle,8,371,5,3,5,1,1,2
GestureMultiAngle,8,372,5,4,5,1,1,1
GestureMultiAngle,8,373,5,5,5,2,1,1
GestureMultiAngle,8,374,5,6,5,2,1,2
GestureMultiAngle,8,375,5,7,5,3,1,1
GestureMultiAngle,8,376,5,8,5,4,1,2
GestureMultiAngle,8,377,6,1,6,3,1,2
GestureMultiAngle,8,378,6,2,6,4,1,1
GestureMultiAngle,8,379,6,3,6,1,1,2
GestureMultiAngle,8,380,6,4,6,1,1,1
GestureMultiAngle,8,381,6,5,6,2,1,1
GestureMultiAngle,8,382,6,6,6,2,1,2
GestureMultiAngle,8,383,6,7,6,3,1,1
GestureMultiAngle,8,384,6,8,6,4,1,2
GestureMultiAngle,9,385,1,1,1,4,1,1
GestureMultiAngle,9,386,1,2,1,4,1,2
GestureMultiAngle,9,387,1,3,1,2,1,1
GestureMultiAngle,9,388,1,4,1,1,1,2
GestureMultiAngle,9,389,1,5,1,2,1,2
GestureMultiAngle,9,390,1,6,1,3,1,1
GestureMultiAngle,9,391,1,7,1,3,1,2
GestureMultiAngle,9,392,1,8,1,1,1,1
GestureMultiAngle,9,393,2,1,2,4,1,1
GestureMultiAngle,9,394,2,2,2,4,1,2
GestureMultiAngle,9,395,2,3,2,2,1,1
GestureMultiAngle,9,396,2,4,2,1,1,2
GestureMultiAngle,9,397,2,5,2,2,1,2
GestureMultiAngle,9,398,2,6,2,3,1,1
GestureMultiAngle,9,399,2,7,2,3,1,2
GestureMultiAngle,9,400,2,8,2,1,1,1
GestureMultiAngle,9,401,3,1,3,4,1,1
GestureMultiAngle,9,402,3,2,3,4,1,2
GestureMultiAngle,9,403,3,3,3,2,1,1
GestureMultiAngle,9,404,3,4,3,1,1,2
GestureMultiAngle,9,405,3,5,3,2,1,2
GestureMultiAngle,9,406,3,6,3,3,1,1
GestureMultiAngle,9,407,3,7,3,3,1,2
GestureMultiAngle,9,408,3,8,3,1,1,1
GestureMultiAngle,9,409,4,1,4,4,1,1
GestureMultiAngle,9,410,4,2,4,4,1,2
GestureMultiAngle,9,411,4,3,4,2,1,1
GestureMultiAngle,9,412,4,4,4,1,1,2
GestureMultiAngle,9,413,4,5,4,2,1,2
GestureMultiAngle,9,414,4,6,4,3,1,1
GestureMultiAngle,9,415,4,7,4,3,1,2
GestureMultiAngle,9,416,4,8,4,1,1,1
GestureMultiAngle,9,417,5,1,5,4,1,1
GestureMultiAngle,9,418,5,2,5,4,1,2
GestureMultiAngle,9,419,5,3,5,2,1,1
GestureMultiAngle,9,420,5,4,5,1,1,2
GestureMultiAngle,9,421,5,5,5,2,1,2
GestureMultiAngle,9,422,5,6,5,3,1,1
GestureMultiAngle,9,423,5,7,5,3,1,2
GestureMultiAngle,9,424,5,8,5,1,1,1
GestureMultiAngle,9,425,6,1,6,4,1,1
GestureMultiAngle,9,426,6,2,6,4,1,2
GestureMultiAngle,9,427,6,3,6,2,1,1
GestureMultiAngle,9,428,6,4,6,1,1,2
GestureMultiAngle,9,429,6,5,6,2,1,2
GestureMultiAngle,9,430,6,6,6,3,1,1
GestureMultiAngle,9,431,6,7,6,3,1,2
