DesignName,ParticipantID,TrialID,Block1,Letter1,Letter2,Modifier1,Modifier2,First,Second,Size,keyboardLayout,mouseType,targetDist,executionTimeCMD1,executionTimeAlt1,executionTimeShift1,executionTimeKey1,userAngle1,drawDist1,mouseClick1,totalExecutionTime1,NbOfAttempts1,executionTimeCMD2,executionTimeAlt2,executionTimeShift2,executionTimeKey2,userAngle2,drawDist2,mouseClick2,totalExecutionTime2,NbOfAttempts2
2dir,9,1040,16,-1,-1,-1,-1,N,E,1,QWERTY,touchpad,456.2477397204286,-1,-1,-1,-1,360,101,0.597,1.182,1,-1,-1,-1,-1,-1,-1,-1,0.882,1
2dir,9,1041,17,-1,-1,-1,-1,S,N,1,QWERTY,touchpad,1112.0071942213324,-1,-1,-1,-1,90,168,0.52,1.381,1,-1,-1,-1,-1,-1,-1,-1,0.75,1
2dir,9,1042,18,-1,-1,-1,-1,SE,S,2,QWERTY,touchpad,696.6153888624626,-1,-1,-1,-1,270,167,0.693,1.039,1,-1,-1,-1,-1,-1,-1,-1,0.954,1
2dir,9,1043,19,-1,-1,-1,-1,NW,S,2,QWERTY,touchpad,721.6716704984337,-1,-1,-1,-1,270,179,0.516,1.157,1,-1,-1,-1,-1,-1,-1,-1,0.869,1
2dir,9,1044,20,-1,-1,-1,-1,NW,E,1,QWERTY,touchpad,885.514539688649,-1,-1,-1,-1,359.09061955080085,76.16429609731846,0.701,1.01,1,-1,-1,-1,-1,-1,-1,-1,1.153,1
2dir,9,1045,21,-1,-1,-1,-1,SW,NE,1,QWERTY,touchpad,559.0438265467208,-1,-1,-1,-1,22.79059084178502,129.07749610214788,0.665,1.349,1,-1,-1,-1,-1,-1,-1,-1,0.949,1
2dir,9,1046,22,-1,-1,-1,-1,S,NW,2,QWERTY,touchpad,948.9452038974642,-1,-1,-1,-1,146.73857120672233,222.44100341438852,0.484,1.644,1,-1,-1,-1,-1,-1,-1,-1,0.767,1
2dir,9,1047,23,-1,-1,-1,-1,N,SE,2,QWERTY,touchpad,295.0406751619173,-1,-1,-1,-1,322.76516601842536,219.80445855350615,0.715,1.318,1,-1,-1,-1,-1,-1,-1,-1,1.031,1
2dir,9,1048,24,-1,-1,-1,-1,SW,SE,1,QWERTY,touchpad,557.826137788469,-1,-1,-1,-1,328.86102756302114,112.16059914247963,0.545,1.224,1,-1,-1,-1,-1,-1,-1,-1,0.848,1
2dir,9,1049,25,-1,-1,-1,-1,NW,NW,2,QWERTY,touchpad,964.4361046746435,-1,-1,-1,-1,133.80026376187863,270.1740179958095,0.534,0.996,1,-1,-1,-1,-1,-1,-1,-1,0.768,1
2dir,9,1050,26,-1,-1,-1,-1,NW,SW,1,QWERTY,touchpad,1043.695836918017,-1,-1,-1,-1,232.50000920696505,254.61539623518448,0.615,1.215,1,-1,-1,-1,-1,-1,-1,-1,0.982,1
2dir,9,1051,27,-1,-1,-1,-1,SW,N,1,QWERTY,touchpad,1382.4246814926303,-1,-1,-1,-1,90,203,0.683,1.448,1,-1,-1,-1,-1,-1,-1,-1,0.965,1
2dir,9,1052,28,-1,-1,-1,-1,SE,NW,1,QWERTY,touchpad,871.0367386052095,-1,-1,-1,-1,142.2669544058117,111.21151019566275,0.516,1.099,1,-1,-1,-1,-1,-1,-1,-1,0.851,1
2dir,9,1053,29,-1,-1,-1,-1,S,SW,1,QWERTY,touchpad,1320.1534001774187,-1,-1,-1,-1,228.57633437499734,113.35784048754634,0.567,1.448,1,-1,-1,-1,-1,-1,-1,-1,0.901,1
2dir,9,1054,30,-1,-1,-1,-1,E,N,2,QWERTY,touchpad,737.9762868819024,-1,-1,-1,-1,90,174,0.398,0.933,1,-1,-1,-1,-1,-1,-1,-1,0.733,1
2dir,9,1055,31,-1,-1,-1,-1,NE,NW,2,QWERTY,touchpad,915.3234401019129,-1,-1,-1,-1,118.37379049957005,212.5323504786977,0.631,1.015,1,-1,-1,-1,-1,-1,-1,-1,0.917,1
2dir,9,1056,32,-1,-1,-1,-1,W,N,1,QWERTY,touchpad,451.2704289004543,-1,-1,-1,-1,90,122,0.45,1.33,1,-1,-1,-1,-1,-1,-1,-1,0.736,1
2dir,9,1057,33,-1,-1,-1,-1,N,NE,1,QWERTY,touchpad,701.3109153578033,-1,-1,-1,-1,45.63895989899163,190.22355269524328,0.68,1.391,1,-1,-1,-1,-1,-1,-1,-1,1.016,1
2dir,9,1058,34,-1,-1,-1,-1,NE,S,2,QWERTY,touchpad,1187.8063815285723,-1,-1,-1,-1,269.6128722458491,148.00337833982033,0.517,1.236,1,-1,-1,-1,-1,-1,-1,-1,0.866,1
2dir,9,1059,35,-1,-1,-1,-1,N,S,2,QWERTY,touchpad,1027.3237075041147,-1,-1,-1,-1,270,155,0.49,1.082,1,-1,-1,-1,-1,-1,-1,-1,0.818,1
2dir,9,1060,36,-1,-1,-1,-1,W,SE,1,QWERTY,touchpad,493.99696355342104,-1,-1,-1,-1,336.2328922954184,119.10079764636339,0.516,1.288,1,-1,-1,-1,-1,-1,-1,-1,0.851,1
2dir,9,1061,37,-1,-1,-1,-1,NE,W,1,QWERTY,touchpad,1022.3820225336516,-1,-1,-1,-1,180,219,0.548,1.181,1,-1,-1,-1,-1,-1,-1,-1,0.832,1
2dir,9,1062,38,-1,-1,-1,-1,NE,SE,1,QWERTY,touchpad,673.0898899849856,-1,-1,-1,-1,320.19442890773485,132.7742444904131,0.816,1.147,1,-1,-1,-1,-1,-1,-1,-1,1.168,1
