DesignName,ParticipantID,TrialID,Block1,Block2,Block,Dir,Size,Repeat,NbAngle
GestureMultiAngle,1,119,4,23,4,N_E,3,1,2
GestureMultiAngle,1,120,4,24,4,N_E,4,1,2
GestureMultiAngle,1,121,4,25,4,SW_NW,2,1,1
GestureMultiAngle,1,122,4,26,4,SW_NW,4,1,1
GestureMultiAngle,1,123,4,27,4,S_W,2,1,2
GestureMultiAngle,1,124,4,28,4,N_E,1,1,1
GestureMultiAngle,1,125,4,29,4,NE_SE,4,1,1
GestureMultiAngle,1,126,4,30,4,SW_NW,1,1,2
GestureMultiAngle,1,127,4,31,4,SW_NW,3,1,1
GestureMultiAngle,1,128,4,32,4,S_W,3,1,2
GestureMultiAngle,2,129,1,1,1,N_E,4,1,2
GestureMultiAngle,2,130,1,2,1,NE_SE,1,1,2
GestureMultiAngle,2,131,1,3,1,S_W,3,1,2
GestureMultiAngle,2,132,1,4,1,NE_SE,3,1,2
GestureMultiAngle,2,133,1,5,1,NE_SE,4,1,1
GestureMultiAngle,2,134,1,6,1,SW_NW,1,1,2
GestureMultiAngle,2,135,1,7,1,SW_NW,4,1,1
GestureMultiAngle,2,136,1,8,1,SW_NW,3,1,1
GestureMultiAngle,2,137,1,9,1,N_E,1,1,1
GestureMultiAngle,2,138,1,10,1,S_W,2,1,2
GestureMultiAngle,2,139,1,11,1,NE_SE,2,1,2
GestureMultiAngle,2,140,1,12,1,N_E,3,1,2
GestureMultiAngle,2,141,1,13,1,S_W,2,1,1
GestureMultiAngle,2,142,1,14,1,SW_NW,1,1,1
GestureMultiAngle,2,143,1,15,1,N_E,2,1,1
GestureMultiAngle,2,144,1,16,1,N_E,2,1,2
GestureMultiAngle,2,145,1,17,1,S_W,1,1,2
GestureMultiAngle,2,146,1,18,1,S_W,4,1,2
GestureMultiAngle,2,147,1,19,1,NE_SE,1,1,1
GestureMultiAngle,2,148,1,20,1,N_E,3,1,1
GestureMultiAngle,2,149,1,21,1,NE_SE,2,1,1
GestureMultiAngle,2,150,1,22,1,NE_SE,3,1,1
GestureMultiAngle,2,151,1,23,1,N_E,4,1,1
GestureMultiAngle,2,152,1,24,1,S_W,1,1,1
GestureMultiAngle,2,153,1,25,1,SW_NW,2,1,2
GestureMultiAngle,2,154,1,26,1,SW_NW,4,1,2
GestureMultiAngle,2,155,1,27,1,S_W,3,1,1
GestureMultiAngle,2,156,1,28,1,N_E,1,1,2
